Vol,L/H,W/H,Inclination,Stiffness_N/mm,Modulus_MPa,plaload_N,yield_stress_MPa
0.15,2.2,1.8,19.38180943104909,7167.15562130672,180.98877831582627,2048.3143918044875,5.172511090415373
0.15,2.0,2.0,19.47122063449069,7276.849042786902,181.9212260696725,2079.6677854302607,5.199169463575652
0.15,2.6,1.0,19.747076187144614,5591.92903493631,215.0741936513965,1451.6460983930385,5.583254224588608
0.15,2.4,1.4,19.794203455088404,6738.62490614609,200.55431268291926,1835.4963288294773,5.462786692944873
0.15,2.2,1.6,20.18379677209278,7215.894748424484,204.99700989842282,1970.6023959555387,5.5983022612373246
0.15,2.0,1.8,20.387435900130946,7461.772310754818,207.27145307652276,2039.1207488063985,5.6642243022399965
0.15,2.4,1.2,20.43931757325825,6477.271973521003,224.9052768583681,1683.9648328742007,5.8471001141465315
0.15,2.2,1.4,20.980944414175745,7149.087892754652,232.11324327125493,1861.5319198543218,6.0439348047218235
0.15,2.4,1.0,21.037511025421818,6033.9334548769375,251.41389395320567,1495.1740024996832,6.229891677082014
0.15,2.0,1.6,21.327384083465386,7560.3597386651845,236.26124183328702,1973.082826403576,6.165883832511176
0.15,1.8,1.8,21.44674152103804,7700.434913353949,237.66774423931943,2010.5288297770126,6.205335894373497
0.15,2.4,0.8,21.568129435647887,5355.692415977476,278.9423133321602,1262.8699022495675,6.577447407549831
0.15,2.2,1.2,21.754146732684802,6919.29077131271,262.0943473982087,1717.3368517795072,6.505063832498133
0.15,2.0,1.4,22.27478931554221,7537.534956751184,269.197677026828,1874.5678993807128,6.694885354931118
0.15,2.2,1.0,22.479915805463506,6492.839805246518,295.1290820566599,1534.8633570991128,6.976651623177787
0.15,1.8,1.6,22.54956392201365,7848.261170531379,272.5090684212285,1955.702618965412,6.790634093629901
0.15,2.2,0.8,23.131147673094745,5807.380653807966,329.9648098754526,1304.3188356153344,7.410902475087128
0.15,2.0,1.2,23.207062520880637,7357.505333831559,306.56272224298164,1742.8437130267148,7.261848804277978
0.15,1.8,1.4,23.67884501003002,7897.75195021049,313.40285516708286,1873.2670999479847,7.433599602968192
0.15,1.6,1.6,23.84263602379236,8070.862409671939,315.2680628778101,1916.7898451533567,7.4874603326303
0.15,2.0,1.0,24.094842552110705,6959.554010178461,347.977700508923,1567.8230761213192,7.8391153806065965
0.15,1.8,1.2,24.8087480538268,7765.6223136901945,359.5195515597312,1752.6776198580499,8.114248240083564
0.15,2.0,0.8,24.90253602554341,6274.541889066376,392.1588680666485,1341.3054076782184,8.383158797988866
0.15,1.6,1.4,25.19043704179875,8185.054375444658,365.4042131894937,1849.5943141328974,8.257117473807577
0.15,1.8,1.0,25.90319999107772,7383.511694935794,410.19509416309967,1585.8956047056272,8.810531137253482
0.15,1.6,1.2,26.56505117707799,8102.607595205939,422.0108122503093,1742.0328720832965,9.073087875433837
0.15,1.4,1.4,26.797257587643,8326.454923547075,424.8191287524018,1795.0724721057038,9.15853302094747
